key,value,timestamp,sentence
Very Negative,0.0897,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
Negative,0.5704,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
Neutral,0.2992,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
Positive,0.0283,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
Very Positive,0.0124,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
Very Negative,0.0326,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
Negative,0.1365,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
Neutral,0.2982,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
Positive,0.4581,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
Very Positive,0.0745,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
Very Negative,0.1697,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
Negative,0.6197,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
Neutral,0.1623,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
Positive,0.0312,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
Very Positive,0.0171,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
Very Negative,0.0425,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
Negative,0.2081,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
Neutral,0.4529,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
Positive,0.2493,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
Very Positive,0.0472,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
Very Negative,0.0422,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
Negative,0.1919,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
Neutral,0.4218,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
Positive,0.2872,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
Very Positive,0.0569,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
Very Negative,0.0263,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
Negative,0.1636,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
Neutral,0.5957,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
Positive,0.1934,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
Very Positive,0.0211,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
Very Negative,0.0393,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
Negative,0.2342,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
Neutral,0.4613,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
Positive,0.2263,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
Very Positive,0.0389,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
Very Negative,0.1132,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
Negative,0.2447,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
Neutral,0.0891,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
Positive,0.3305,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
Very Positive,0.2226,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
Very Negative,0.1251,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
Negative,0.5161,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
